Year,Category,Film,FilmId,Winner,Nominees,Song
1935,Best Sound,"$1,000 a Minute",tt0026027,,Republic Studio Sound Department,
1935,Best Sound,Thanks a Million,tt0027088,,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",
1936,Best Adapted Screenplay,After the Thin Man,tt0027260,,"Frances Goodrich, Albert Hackett",
1936,Best Adapted Screenplay,Dodsworth,tt0027532,,Sidney Howard,
1936,Best Adapted Screenplay,Mr. Deeds Goes to Town,tt0027996,,Robert Riskin,
1936,Best Adapted Screenplay,My Man Godfrey,tt0028010,,"Eric Hatch, Morris Ryskind",
1936,Best Adapted Screenplay,The Story of Louis Pasteur,tt0028313,TRUE,"Pierre Collings, Sheridan Gibney",
1936,Best Cinematography,Anthony Adverse,tt0027300,TRUE,Gaetano Gaudio,
1936,Best Cinematography,The General Died at Dawn,tt0027664,,Victor Milner,
1936,Best Cinematography,The Gorgeous Hussy,tt0027690,,George Folsey,
1936,Best Director,Dodsworth,tt0027532,,William Wyler,
1936,Best Director,The Great Ziegfeld,tt0027698,,Robert Z. Leonard,
1936,Best Director,Mr. Deeds Goes to Town,tt0027996,TRUE,Frank Capra,
1936,Best Director,My Man Godfrey,tt0028010,,Gregory La Cava,
1936,Best Director,San Francisco,tt0028216,,W. S. Van Dyke,
1936,Best Film Editing,Anthony Adverse,tt0027300,TRUE,Ralph Dawson,
1936,Best Film Editing,Come and Get It,tt0027459,,Edward Curtiss,
1936,Best Film Editing,The Great Ziegfeld,tt0027698,,William S. Gray,
1936,Best Film Editing,Lloyds of London,tt0027902,,Barbara McLean,
1936,Best Film Editing,A Tale of Two Cities,tt0027075,,Conrad A. Nervig,
1936,Best Film Editing,Theodora Goes Wild,tt0028355,,Otto Meyer,
1936,Best Leading Actor,Mr. Deeds Goes to Town,tt0027996,,Gary Cooper,Longfellow Deeds
1936,Best Leading Actor,Dodsworth,tt0027532,,Walter Huston,Sam Dodsworth
1936,Best Leading Actor,The Story of Louis Pasteur,tt0028313,TRUE,Paul Muni,Louis Pasteur
1936,Best Leading Actor,My Man Godfrey,tt0028010,,William Powell,Godfrey Parks
1936,Best Leading Actor,San Francisco,tt0028216,,Spencer Tracy,Father Tim Mullen
1936,Best Leading Actress,Theodora Goes Wild,tt0028355,,Irene Dunne,Theodora Lynn
1936,Best Leading Actress,Valiant Is the Word for Carrie,tt0028455,,Gladys George,Carrie Snyder
1936,Best Leading Actress,My Man Godfrey,tt0028010,,Carole Lombard,Irene Bullock
1936,Best Leading Actress,The Great Ziegfeld,tt0027698,TRUE,Luise Rainer,Anna Held
1936,Best Leading Actress,Romeo and Juliet,tt0028203,,Norma Shearer,Juliet
1936,Best Original Screenplay,Fury,tt0027652,,Norman Krasna,
1936,Best Original Screenplay,The Great Ziegfeld,tt0027698,,William Anthony McGuire,
1936,Best Original Screenplay,San Francisco,tt0028216,,Robert Hopkins,
1936,Best Original Screenplay,The Story of Louis Pasteur,tt0028313,TRUE,"Pierre Collings, Sheridan Gibney",
1936,Best Original Screenplay,Three Smart Girls,tt0028373,,Adele Comandini,
1936,Best Original Song,Suzy,tt0028330,,Music by Walter Donaldson; Lyrics by Harold Adamson,Did I Remember
1936,Best Original Song,Born to Dance,tt0027387,,Music and Lyrics by Cole Porter,I've Got You Under My Skin
1936,Best Original Song,Trail of the Lonesome Pine,tt0028401,,Music by Louis Alter; Lyrics by Sidney Mitchell,A Melody From The Sky
1936,Best Original Song,Pennies from Heaven,tt0028092,,Music by Arthur Johnston; Lyrics by Johnny Burke,Pennies From Heaven
1936,Best Original Song,Swing Time,tt0028333,TRUE,Music by Jerome Kern; Lyrics by Dorothy Fields,The Way You Look Tonight
1936,Best Original Song,"Sing, Baby, Sing",tt0028255,,Music by Richard A. Whiting; Lyrics by Walter Bullock,When Did You Leave Heaven
1936,Best Picture,Anthony Adverse,tt0027300,,Warner Bros.,
1936,Best Picture,Dodsworth,tt0027532,,Samuel Goldwyn Productions,
1936,Best Picture,The Great Ziegfeld,tt0027698,TRUE,Metro-Goldwyn-Mayer,
1936,Best Picture,Libeled Lady,tt0027884,,Metro-Goldwyn-Mayer,
1936,Best Picture,Mr. Deeds Goes to Town,tt0027996,,Columbia,
1936,Best Picture,Romeo and Juliet,tt0028203,,Metro-Goldwyn-Mayer,
1936,Best Picture,San Francisco,tt0028216,,Metro-Goldwyn-Mayer,
1936,Best Picture,The Story of Louis Pasteur,tt0028313,,Cosmopolitan,
1936,Best Picture,A Tale of Two Cities,tt0027075,,Metro-Goldwyn-Mayer,
1936,Best Picture,Three Smart Girls,tt0028373,,Universal,
1936,Best Production Design,Anthony Adverse,tt0027300,,Anton Grot,
1936,Best Production Design,Dodsworth,tt0027532,TRUE,Richard Day,
1936,Best Production Design,The Great Ziegfeld,tt0027698,,"Cedric Gibbons, Eddie Imazu, Edwin B. Willis",
1936,Best Production Design,Lloyds of London,tt0027902,,William S. Darling,
1936,Best Production Design,The Magnificent Brute,tt0027930,,"Albert S. D'Agostino, Jack Otterson",
1936,Best Production Design,Romeo and Juliet,tt0028203,,"Cedric Gibbons, Fredric Hope, Edwin B. Willis",
1936,Best Production Design,Winterset,tt0028511,,Perry Ferguson,
1936,Best Short Film,The Country Cousin,tt0027468,TRUE,"Walt Disney, Producer",
1936,Best Short Film,Old Mill Pond,tt0028057,,Harman-Ising,
1936,Best Short Film,Sinbad the Sailor,tt0028119,,Paramount,
1936,Best Short Film,Give Me Liberty,tt0027678,TRUE,Warner Bros.,
1936,Best Short Film,La Fiesta de Santa Barbara,tt0027616,,"Lewis Lewyn, Producer",
1936,Best Short Film,Popular Science J-6-2,tt0026880,,Paramount,
1936,Best Short Film,Bored of Education,tt0027385,TRUE,"Hal Roach, Producer",
1936,Best Short Film,Moscow Moods,tt0027988,,Paramount,
1936,Best Short Film,"Wanted, a Master",tt0028480,,"Pete Smith, Producer",
1936,Best Short Film,Double or Nothing,tt0342147,,Warner Bros.,
1936,Best Short Film,Dummy Ache,tt0027556,,RKO Radio,
1936,Best Short Film,The Public Pays,tt0028146,TRUE,Metro-Goldwyn-Mayer,
1936,Best Sound,Banjo on My Knee,tt0027331,,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",
1936,Best Sound,The Charge of the Light Brigade,tt0027438,,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",
1936,Best Sound,Dodsworth,tt0027532,,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",
1936,Best Sound,General Spanky,tt0027665,,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director",
1936,Best Sound,Mr. Deeds Goes to Town,tt0027996,,"Columbia Studio Sound Department, John Livadary, Sound Director",
1936,Best Sound,San Francisco,tt0028216,TRUE,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",
1936,Best Sound,The Texas Rangers,tt0028352,,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director",
1936,Best Sound,That Girl from Paris,tt0028354,,"RKO Radio Studio Sound Department, J. O. Aalberg, Sound Director",
1936,Best Sound,Three Smart Girls,tt0028373,,"Universal Studio Sound Department, Homer G. Tasker, Sound Director",
1936,Best Supporting Actor,My Man Godfrey,tt0028010,,Mischa Auer,Carlo
1936,Best Supporting Actor,Come and Get It,tt0027459,TRUE,Walter Brennan,Swan Bostrom
1936,Best Supporting Actor,Pigskin Parade,tt0028103,,Stuart Erwin,Amos Dodd
1936,Best Supporting Actor,Romeo and Juliet,tt0028203,,Basil Rathbone,Tybalt
1936,Best Supporting Actor,The General Died at Dawn,tt0027664,,Akim Tamiroff,General Yang
1936,Best Supporting Actress,The Gorgeous Hussy,tt0027690,,Beulah Bondi,Rachel Jackson
